customer_id,first_name,last_name,gender,age,city,segment,registration_date,email,loyalty_score
C0001,Fatima,Ahmed,Female,37,Khulna,Consumer,2021-10-16,customer1@email.com,7.6
C0002,Bristy,Khan,Female,24,Dhaka,Corporate,2021-11-23,customer2@email.com,3.0
C0003,Mehrin,Ahmed,Male,63,Comilla,Consumer,2021-06-01,customer3@email.com,5.0
C0004,Rahim,Islam,Female,43,Rajshahi,Consumer,2020-10-11,customer4@email.com,2.9
C0005,Fatima,Khan,Female,28,Barisal,Small Business,2020-12-10,customer5@email.com,6.4
C0006,Babu,Uddin,Male,46,Chittagong,Small Business,2020-02-14,customer6@email.com,8.5
C0007,Mitu,Akter,Male,26,Dhaka,Consumer,2021-09-25,customer7@email.com,8.0
C0008,Tania,Khan,Female,39,Narayanganj,Small Business,2020-03-22,customer8@email.com,2.5
C0009,Imran,Begum,Male,60,Sylhet,Consumer,2020-12-29,customer9@email.com,2.5
C0010,Hasan,Uddin,Male,65,Barisal,Corporate,2021-01-23,customer10@email.com,3.1
C0011,Rafi,Rahman,Female,26,Khulna,Small Business,2020-02-02,customer11@email.com,2.9
C0012,Zahir,Ali,Male,38,Sylhet,Consumer,2021-05-26,customer12@email.com,7.7
C0013,Hasan,Akter,Female,59,Comilla,Small Business,2021-07-05,customer13@email.com,3.0
C0014,Pavel,Ali,Male,25,Chittagong,Consumer,2020-05-21,customer14@email.com,6.6
C0015,Riya,Akter,Male,46,Comilla,Government,2021-11-27,customer15@email.com,5.8
C0016,Rahim,Khan,Female,63,Barisal,Corporate,2021-07-20,customer16@email.com,3.6
C0017,Babu,Ahmed,Female,54,Sylhet,Corporate,2020-06-10,customer17@email.com,8.8
C0018,Pavel,Akter,Male,31,Barisal,Consumer,2020-11-01,customer18@email.com,5.9
C0019,Rahim,Akter,Female,53,Dhaka,Corporate,2021-06-27,customer19@email.com,9.4
C0020,Tania,Ahmed,Male,58,Chittagong,Corporate,2020-11-10,customer20@email.com,7.6
C0021,Bristy,Islam,Male,64,Narayanganj,Consumer,2020-03-11,customer21@email.com,3.4
C0022,Riya,Hossain,Male,41,Comilla,Small Business,2021-09-13,customer22@email.com,4.9
C0023,Babu,Khan,Male,36,Chittagong,Small Business,2021-06-13,customer23@email.com,1.2
C0024,Tania,Akter,Male,22,Chittagong,Corporate,2021-07-21,customer24@email.com,3.1
C0025,Rafi,Khan,Male,39,Narayanganj,Consumer,2020-02-02,customer25@email.com,5.9
C0026,Shakib,Ali,Male,52,Comilla,Consumer,2021-08-07,customer26@email.com,1.8
C0027,Riya,Chowdhury,Female,48,Narayanganj,Corporate,2021-11-05,customer27@email.com,7.1
C0028,Fatima,Ahmed,Female,43,Chittagong,Consumer,2021-10-23,customer28@email.com,2.7
C0029,Babu,Islam,Female,33,Rajshahi,Government,2021-07-03,customer29@email.com,3.2
C0030,Babu,Uddin,Male,25,Dhaka,Corporate,2020-03-18,customer30@email.com,9.3
C0031,Sumaiya,Rahman,Female,52,Khulna,Government,2020-08-30,customer31@email.com,9.1
C0032,Zahir,Ahmed,Female,38,Narayanganj,Small Business,2020-06-17,customer32@email.com,4.8
C0033,Nasrin,Islam,Male,40,Khulna,Corporate,2021-07-23,customer33@email.com,6.2
C0034,Karim,Chowdhury,Male,25,Narayanganj,Consumer,2021-07-09,customer34@email.com,1.5
C0035,Nusrat,Islam,Male,60,Chittagong,Consumer,2021-06-04,customer35@email.com,4.6
C0036,Tania,Akter,Male,61,Chittagong,Government,2021-08-06,customer36@email.com,6.9
C0037,Pavel,Chowdhury,Female,35,Barisal,Consumer,2021-08-01,customer37@email.com,3.4
C0038,Sadia,Ali,Female,26,Dhaka,Government,2020-05-14,customer38@email.com,6.6
C0039,Fatima,Khan,Male,54,Rajshahi,Consumer,2021-07-30,customer39@email.com,9.4
C0040,Tania,Chowdhury,Female,32,Narayanganj,Small Business,2020-03-11,customer40@email.com,6.5
C0041,Pavel,Ahmed,Female,64,Chittagong,Consumer,2021-10-31,customer41@email.com,3.4
C0042,Bristy,Islam,Female,40,Khulna,Small Business,2020-04-19,customer42@email.com,2.8
C0043,Hasan,Uddin,Female,38,Dhaka,Corporate,2021-10-11,customer43@email.com,6.7
C0044,Karim,Ahmed,Female,30,Rajshahi,Consumer,2020-10-10,customer44@email.com,7.7
C0045,Riya,Uddin,Male,29,Chittagong,Consumer,2021-07-18,customer45@email.com,5.9
C0046,Shakib,Uddin,Male,49,Sylhet,Corporate,2021-01-13,customer46@email.com,3.8
C0047,Mitu,Hossain,Male,64,Chittagong,Small Business,2020-02-10,customer47@email.com,8.0
C0048,Mehrin,Islam,Male,32,Sylhet,Government,2021-02-20,customer48@email.com,1.2
